AccountID,SafeName,FolderName,AccountName,UserName,Address,PlatformID,CreationMethod,Status,LastPasswordChange,DaysFromLastChange,DaysUntilExpiration,CreateDate,PasswordLength,ChangeFrequency,ManagedBy,AccessingUsers,AccessCount,LastAccess,RiskScore,ComplianceStatus,Category,Owner,Comments,BusinessUnit,Location,Environment,ApplicationName,ExpirationDate,Tags,AccountType
1001,Infrastructure,Servers,WebServer01,admin,webserver01.company.com,WinServerLocal,Manual,Active,2024-03-15T10:30:00,10,20,2023-05-10T08:45:00,16,30 days,CPM1,12,45,2024-03-25T15:45:23,25,Compliant,Server Infrastructure,IT Operations,Production web server,IT,Primary Datacenter,Production,Web Platform,2024-04-15T10:30:00,Critical;Server,Administrative
1002,Databases,Oracle,OracleDB01,dbadmin,oracledb01.company.com,OracleServer,Automatic,Active,2024-03-18T14:20:00,7,23,2023-06-05T09:30:00,20,30 days,CPM2,8,32,2024-03-24T11:20:15,35,Compliant,Database,IT Database Team,Production database,IT,Primary Datacenter,Production,Customer Database,2024-04-18T14:20:00,Critical;Database,Administrative
1003,Networking,Routers,CiscoRouter01,admin,router01.company.com,CiscoDevice,Manual,Active,2024-03-10T11:15:00,15,15,2023-04-15T10:00:00,12,30 days,CPM1,5,12,2024-03-20T09:15:45,30,Compliant,Network,IT Network Team,Primary edge router,IT,Primary Datacenter,Production,Network Infrastructure,2024-04-10T11:15:00,Critical;Network,Infrastructure
1004,Applications,Web Services,SalesforceAPI,apiuser,api.salesforce.com,WebService,Automatic,Active,2024-03-20T16:30:00,5,25,2023-07-01T13:45:00,24,30 days,CPM2,1,250,2024-03-25T23:45:12,15,Compliant,API,Sales Operations,Salesforce integration,Sales,Cloud,Production,CRM Integration,2024-04-20T16:30:00,Application;Integration,Service Account
1005,Infrastructure,File Servers,FileServer01,admin,fileserver01.company.com,WinServerLocal,Manual,Active,2024-03-08T09:45:00,17,13,2023-05-12T11:30:00,16,30 days,CPM1,20,65,2024-03-23T14:30:25,25,Compliant,Server Infrastructure,IT Operations,Primary file storage,IT,Primary Datacenter,Production,File Storage,2024-04-08T09:45:00,Critical;Server,Administrative
1006,Cloud,AWS,AWSMaster,admin,aws-console,AWSAccount,Manual,Active,2024-02-25T10:20:00,29,1,2023-03-10T15:45:00,32,30 days,CPM2,3,2,2024-03-15T10:30:22,65,Compliant,Cloud,IT Cloud Team,Main AWS account,IT,Cloud,Production,Cloud Infrastructure,2024-03-27T10:20:00,Critical;Cloud,Break Glass
1007,Infrastructure,Active Directory,DC01-Admin,administrator,dc01.company.com,WinDomainController,Manual,Active,2024-03-15T14:25:00,10,20,2023-04-05T08:30:00,20,30 days,CPM1,6,18,2024-03-22T14:25:10,40,Compliant,Directory Services,IT Identity Team,Main domain controller,IT,Primary Datacenter,Production,Identity Management,2024-04-15T14:25:00,Critical;Directory,Administrative
1008,Applications,DevOps,JenkinsAdmin,admin,jenkins.company.com,LinuxServer,Automatic,Active,2024-03-18T16:20:00,7,23,2023-06-15T13:15:00,16,30 days,CPM1,8,28,2024-03-25T16:20:45,30,Compliant,Development,DevOps Team,CI/CD platform,Development,Primary Datacenter,Production,DevOps Platform,2024-04-18T16:20:00,Development;Server,Administrative
1009,Security,SIEM,SOCAdmin,admin,siem.company.com,SecurityApplication,Manual,Active,2024-03-20T08:45:00,5,25,2023-05-20T09:30:00,20,30 days,CPM2,10,35,2024-03-25T08:45:30,45,Compliant,Security,IT Security,Security monitoring,IT,Primary Datacenter,Production,Security Operations,2024-04-20T08:45:00,Critical;Security,Administrative
1010,Databases,SQL Server,SQLServer01,sa,sqlserver01.company.com,MSSQLServer,Manual,Active,2024-03-05T11:10:00,20,10,2023-05-15T10:45:00,20,30 days,CPM2,5,8,2024-03-18T11:10:25,50,Compliant,Database,IT Database Team,Financial database,IT,Primary Datacenter,Production,Financial System,2024-04-05T11:10:00,Critical;Database,Administrative
1011,Applications,SharePoint,SPAdmin,spadmin,sharepoint.company.com,SharePointServer,Automatic,Active,2024-03-13T15:35:00,12,18,2023-06-10T14:20:00,16,30 days,CPM1,6,15,2024-03-23T15:35:40,30,Compliant,Application,IT Applications,Document management,IT,Primary Datacenter,Production,Document Management,2024-04-13T15:35:00,Application;Server,Administrative
1012,Networking,Firewalls,FirewallAdmin,admin,firewall.company.com,CheckPointFW,Manual,Active,2024-03-10T10:15:00,15,15,2023-04-25T13:30:00,16,30 days,CPM1,4,10,2024-03-24T10:15:35,35,Compliant,Network,IT Network Team,Primary firewall,IT,Primary Datacenter,Production,Network Security,2024-04-10T10:15:00,Critical;Network,Infrastructure
1013,Infrastructure,Backup,BackupAdmin,admin,backup.company.com,BackupApplication,Automatic,Active,2024-03-18T07:30:00,7,23,2023-05-30T09:45:00,20,30 days,CPM1,5,20,2024-03-25T07:30:15,25,Compliant,Backup,IT Operations,Backup infrastructure,IT,Primary Datacenter,Production,Backup System,2024-04-18T07:30:00,Critical;Backup,Administrative
1014,Cloud,Azure,AzureAdmin,admin,azure-portal,AzureAccount,Manual,Active,2024-03-07T13:45:00,18,12,2023-07-05T10:30:00,24,30 days,CPM2,5,12,2024-03-21T13:45:55,30,Compliant,Cloud,IT Cloud Team,Main Azure account,IT,Cloud,Production,Cloud Infrastructure,2024-04-07T13:45:00,Critical;Cloud,Administrative
1015,Databases,MongoDB,MongoAdmin,dbadmin,mongodb.company.com,MongoDB,Automatic,Active,2024-03-16T14:20:00,9,21,2023-08-10T15:30:00,16,30 days,CPM2,6,25,2024-03-25T14:20:10,25,Compliant,Database,IT Database Team,Analytics database,IT,Primary Datacenter,Production,Analytics Platform,2024-04-16T14:20:00,Database;Analytics,Administrative
1016,Applications,CRM,CRMAdmin,admin,crm.company.com,WebApplication,Manual,Active,2024-03-13T16:15:00,12,18,2023-06-20T13:45:00,16,30 days,CPM1,10,30,2024-03-22T16:15:25,35,Compliant,Application,Sales Operations,Customer relationship management,Sales,Primary Datacenter,Production,CRM System,2024-04-13T16:15:00,Application;Critical,Administrative
1017,Infrastructure,Virtualization,VMwareAdmin,administrator,vcenter.company.com,ESXiHost,Manual,Active,2024-03-15T11:30:00,10,20,2023-05-05T10:15:00,20,30 days,CPM1,8,22,2024-03-25T11:30:45,30,Compliant,Virtualization,IT Infrastructure,VM management,IT,Primary Datacenter,Production,Virtual Infrastructure,2024-04-15T11:30:00,Critical;Virtualization,Administrative
1018,Networking,Load Balancers,LBAdmin,admin,lb01.company.com,F5Device,Manual,Active,2024-03-05T09:25:00,20,10,2023-04-20T14:30:00,16,30 days,CPM1,3,8,2024-03-19T09:25:15,20,Compliant,Network,IT Network Team,Web traffic balancer,IT,Primary Datacenter,Production,Network Infrastructure,2024-04-05T09:25:00,Network;Web,Infrastructure
1019,Cloud,GCP,GCPAdmin,admin,google-cloud-console,GCPAccount,Manual,Active,2024-03-06T15:10:00,19,11,2023-09-01T11:20:00,24,30 days,CPM2,2,5,2024-03-20T15:10:30,25,Compliant,Cloud,IT Cloud Team,Analytics GCP account,IT,Cloud,Production,Analytics Platform,2024-04-06T15:10:00,Cloud;Analytics,Administrative
1020,Applications,ERP,ERPAdmin,admin,erp.company.com,WebApplication,Automatic,Active,2024-03-19T10:45:00,6,24,2023-07-15T09:30:00,20,30 days,CPM1,12,38,2024-03-25T10:45:35,40,Compliant,Application,Finance Department,Enterprise resource planning,Finance,Primary Datacenter,Production,Finance System,2024-04-19T10:45:00,Critical;Finance,Administrative
1021,Infrastructure,Email,ExchangeAdmin,administrator,mail.company.com,WinServerLocal,Manual,Active,2024-03-12T13:20:00,13,17,2023-06-01T14:45:00,16,30 days,CPM1,10,28,2024-03-24T13:20:25,35,Compliant,Email,IT Communications,Email infrastructure,IT,Primary Datacenter,Production,Email System,2024-04-12T13:20:00,Critical;Communications,Administrative
1022,Security,PAM,VaultAdmin,administrator,vault.company.com,CyberArkVault,Manual,Active,2024-03-14T09:10:00,11,19,2023-04-10T10:30:00,32,30 days,CPM2,4,15,2024-03-25T09:10:40,65,Compliant,Security,IT Security,PAM administration,IT,Primary Datacenter,Production,Privileged Access Management,2024-04-14T09:10:00,Critical;Security,Break Glass
1023,Databases,PostgreSQL,PGAdmin,postgres,postgres.company.com,PostgreSQL,Automatic,Active,2024-03-20T15:30:00,5,25,2023-08-15T13:20:00,20,30 days,CPM2,4,18,2024-03-24T15:30:15,35,Compliant,Database,IT Database Team,Application database,IT,Primary Datacenter,Production,Customer Application,2024-04-20T15:30:00,Database;Application,Administrative
1024,Applications,Mobile,MobileAPIAdmin,apiuser,mobileapi.company.com,WebService,Automatic,Active,2024-03-17T08:45:00,8,22,2023-09-10T09:15:00,24,30 days,CPM1,2,145,2024-03-25T08:45:20,20,Compliant,API,Mobile Development,Mobile application backend,Development,Primary Datacenter,Production,Mobile Platform,2024-04-17T08:45:00,Application;Mobile,Service Account
1025,Infrastructure,Storage,SANAdmin,admin,san.company.com,StorageDevice,Manual,Active,2024-03-09T14:50:00,16,14,2023-05-25T11:30:00,16,30 days,CPM1,3,12,2024-03-22T14:50:35,30,Compliant,Storage,IT Infrastructure,Storage area network,IT,Primary Datacenter,Production,Storage Infrastructure,2024-04-09T14:50:00,Critical;Storage,Infrastructure
1026,Cloud,CDN,CDNAdmin,admin,cdn.company.com,WebService,Manual,Active,2024-03-21T11:25:00,4,26,2023-10-05T10:45:00,20,30 days,CPM2,2,25,2024-03-25T11:25:10,15,Compliant,Content Delivery,Digital Marketing,Content delivery network,Marketing,Cloud,Production,Web Platform,2024-04-21T11:25:00,Web;Global,Service Account
1027,Networking,VPN,VPNAdmin,admin,vpn.company.com,CiscoDevice,Manual,Active,2024-03-11T09:35:00,14,16,2023-04-30T14:20:00,16,30 days,CPM1,5,35,2024-03-24T09:35:45,35,Compliant,Network,IT Network Team,Remote access VPN,IT,Primary Datacenter,Production,Remote Access,2024-04-11T09:35:00,Critical;Security,Infrastructure
1028,Applications,Analytics,AnalyticsAdmin,admin,analytics.company.com,WebApplication,Automatic,Active,2024-03-18T13:40:00,7,23,2023-08-20T15:30:00,20,30 days,CPM1,8,42,2024-03-25T13:40:20,25,Compliant,Application,Business Intelligence,Data analytics platform,IT,Primary Datacenter,Production,Analytics Platform,2024-04-18T13:40:00,Application;Analytics,Administrative
1029,Security,EDR,EDRAdmin,admin,edr.company.com,SecurityApplication,Manual,Active,2024-03-16T10:55:00,9,21,2023-07-12T13:15:00,20,30 days,CPM2,6,22,2024-03-23T10:55:30,40,Compliant,Security,IT Security,Endpoint detection and response,IT,Primary Datacenter,Production,Security Platform,2024-04-16T10:55:00,Critical;Security,Administrative
1030,DevOps,Container,DockerRegistry,admin,registry.company.com,LinuxServer,Automatic,Active,2024-03-19T15:05:00,6,24,2023-09-15T11:45:00,16,30 days,CPM1,7,32,2024-03-25T15:05:40,30,Compliant,DevOps,DevOps Team,Container registry,Development,Primary Datacenter,Production,Container Platform,2024-04-19T15:05:00,Development;Container,Administrative 