AccountID,SafeName,AccountName,PlatformID,Username,Address,RiskScore,RiskLevel,RiskFactors,LastPasswordChange,PasswordLength,PasswordAge,LastAccessed,AccessCount,UniqueUsers,ComplianceStatus,ApplicationName,BusinessUnit,Owner,Environment,Category,ViolatedPolicies,MitigationStatus,RemediationPlan,AssignedTo,DueDate,DiscoveryDate,ReviewDate,AccountStatus,PasswordStatus
AR1001,Infrastructure,WebServer01,WinServerLocal,admin,webserver01.company.com,85,Critical,"Shared account;Never changed;Excessive privileges",Never,12,365+ days,2024-03-25T15:45:23,45,8,NonCompliant,Web Platform,IT,IT Operations,Production,Server,"Password policy;Access policy",In Progress,Implement rotation and review privileges,John Smith,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1002,Databases,OracleDB,OracleServer,dbadmin,oracledb.company.com,75,High,"Default credentials;Excessive users",2023-12-10T14:20:00,8,100+ days,2024-03-24T11:20:15,32,5,NonCompliant,Customer Database,IT,Database Team,Production,Database,"Password strength policy",In Progress,Change default password and limit access,Maria Garcia,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1003,Cloud,AWSAdmin,AWSAccount,admin,aws-console,65,High,"Long-term privileges;Infrequent use",2023-11-15T10:30:22,16,120+ days,2024-03-15T10:30:22,2,2,NonCompliant,Cloud Infrastructure,IT,Cloud Team,Production,Cloud,"Access frequency policy",Planned,Implement just-in-time access,James Wilson,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1004,Infrastructure,DomainAdmin,WinDomainController,administrator,dc01.company.com,80,Critical,"Multiple users;No dual control",2024-02-25T14:25:00,20,30+ days,2024-03-22T14:25:10,18,4,NonCompliant,Active Directory,IT,Identity Team,Production,Directory,"Dual control policy",In Progress,Implement dual control approval,David Roberts,2024-04-05,2024-03-15,2024-03-20,Active,Warning
AR1005,Security,VaultAdmin,CyberArkVault,administrator,vault.company.com,70,High,"Privileged access;Insufficient rotation",2024-01-20T09:10:00,24,60+ days,2024-03-25T09:10:40,15,4,NonCompliant,PAM,IT,Security Team,Production,Security,"Rotation policy",Planned,Increase rotation frequency,Security Team,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1006,Databases,SQLServer,MSSQLServer,sa,sqlserver01.company.com,90,Critical,"Default username;Excessive privileges;Infrequent checks",2023-10-05T11:10:00,12,180+ days,2024-03-18T11:10:25,8,3,NonCompliant,Financial System,IT,Database Team,Production,Database,"Password policy;Username policy;Verification policy",In Progress,Change default sa credentials and limit permissions,Emily Clark,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1007,Networking,FirewallAdmin,CheckPointFW,admin,firewall.company.com,60,High,"Default username;Multiple access points",2024-02-10T10:15:00,16,45+ days,2024-03-24T10:15:35,10,2,NonCompliant,Network Security,IT,Network Team,Production,Network,"Username policy",Planned,Rename admin account and restrict access methods,Michael Wong,2024-04-15,2024-03-15,2024-03-20,Active,Warning
AR1008,Applications,APIService,WebService,svcaccount,api.company.com,55,Medium,"Service account;Hard-coded credentials",2024-03-10T23:45:12,20,15+ days,2024-03-25T23:45:12,250,1,NonCompliant,Integration Services,IT,Applications Team,Production,API,"Hardcoded credentials policy",Planned,Implement secure credential storage,Thomas Baker,2024-04-20,2024-03-15,2024-03-20,Active,Warning
AR1009,Cloud,AzureAdmin,AzureAccount,admin,azure-portal,70,High,"Default username;Multiple subscriptions",2024-01-15T13:45:00,20,70+ days,2024-03-21T13:45:55,12,3,NonCompliant,Cloud Infrastructure,IT,Cloud Team,Production,Cloud,"Username policy",In Progress,Create dedicated admin accounts per subscription,Amanda White,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1010,Applications,SharePointAdmin,SharePointServer,spadmin,sharepoint.company.com,50,Medium,"Multiple site collections;Shared credentials",2024-02-20T15:35:00,16,35+ days,2024-03-23T15:35:40,15,4,NonCompliant,Document Management,IT,Applications Team,Production,Application,"Account sharing policy",Planned,Create unique admin accounts per site collection,Linda Thompson,2024-04-15,2024-03-15,2024-03-20,Active,Compliant
AR1011,DevOps,JenkinsAdmin,LinuxServer,admin,jenkins.company.com,65,High,"Default username;CI/CD access",2024-03-05T16:20:00,16,20+ days,2024-03-25T16:20:45,28,6,NonCompliant,DevOps Platform,Development,DevOps Team,Production,Development,"Username policy;Access control policy",In Progress,Rename admin account and implement pipeline-specific credentials,Christopher Martin,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1012,Security,SOCAdmin,SecurityApplication,admin,siem.company.com,75,High,"Privileged access;24/7 usage;Multiple users",2024-03-10T08:45:00,20,15+ days,2024-03-25T08:45:30,35,5,NonCompliant,Security Operations,IT,Security Team,Production,Security,"Account sharing policy",In Progress,Create per-user named accounts,Richard Davis,2024-04-05,2024-03-15,2024-03-20,Active,Warning
AR1013,Infrastructure,BackupAdmin,BackupApplication,admin,backup.company.com,45,Medium,"Default username;Limited access",2024-03-05T07:30:00,16,20+ days,2024-03-25T07:30:15,20,3,NonCompliant,Backup System,IT,Operations Team,Production,Backup,"Username policy",Planned,Rename admin account,Michelle Davis,2024-04-20,2024-03-15,2024-03-20,Active,Compliant
AR1014,Databases,MongoAdmin,MongoDB,dbadmin,mongodb.company.com,60,High,"Database configuration issues;Multiple collections",2024-02-25T14:20:00,16,30+ days,2024-03-25T14:20:10,25,4,NonCompliant,Analytics Platform,IT,Database Team,Production,Database,"Configuration policy",In Progress,Implement role-based access control,Robert Wilson,2024-04-15,2024-03-15,2024-03-20,Active,Warning
AR1015,Applications,CRMAdmin,WebApplication,admin,crm.company.com,65,High,"Customer data access;Multiple integrations",2024-02-20T16:15:00,16,35+ days,2024-03-22T16:15:25,30,7,NonCompliant,CRM System,Sales,Sales Operations,Production,Application,"Data access policy",In Progress,Implement granular permission model,Emily Davis,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1016,Infrastructure,VMwareAdmin,ESXiHost,administrator,vcenter.company.com,70,High,"Infrastructure access;Multiple hosts",2024-03-01T11:30:00,16,25+ days,2024-03-25T11:30:45,22,5,NonCompliant,Virtual Infrastructure,IT,Infrastructure Team,Production,Virtualization,"Privileged access policy",In Progress,Implement role-based model with approval workflow,Richard Miller,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1017,Networking,LoadBalancerAdmin,F5Device,admin,lb01.company.com,40,Medium,"Default username;Limited scope",2024-02-15T09:25:00,16,40+ days,2024-03-19T09:25:15,8,2,NonCompliant,Network Infrastructure,IT,Network Team,Production,Network,"Username policy",Planned,Rename admin account,Sarah Johnson,2024-04-25,2024-03-15,2024-03-20,Active,Compliant
AR1018,Applications,ERPAdmin,WebApplication,admin,erp.company.com,85,Critical,"Financial data access;Regulatory requirements;Multiple modules",2024-03-05T10:45:00,16,20+ days,2024-03-25T10:45:35,38,6,NonCompliant,Finance System,Finance,Finance Department,Production,Application,"Regulatory compliance policy;Access control policy",In Progress,Implement segregation of duties and enhanced controls,Linda Thompson,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1019,Infrastructure,ExchangeAdmin,WinServerLocal,administrator,mail.company.com,60,High,"Email access;Multiple servers",2024-02-20T13:20:00,16,35+ days,2024-03-24T13:20:25,28,8,NonCompliant,Email System,IT,Communications Team,Production,Email,"Privileged access policy",In Progress,Create role-specific admin accounts,Michelle Davis,2024-04-15,2024-03-15,2024-03-20,Active,Warning
AR1020,Applications,MobileAPIAdmin,WebService,apiuser,mobileapi.company.com,50,Medium,"Service account;API access",2024-03-05T08:45:00,20,20+ days,2024-03-25T08:45:20,145,2,NonCompliant,Mobile Platform,Development,Mobile Development,Production,API,"Service account policy",Planned,Implement certificate-based authentication,Thomas Clark,2024-04-20,2024-03-15,2024-03-20,Active,Compliant 