Date,Time,ServerName,Environment,RequestType,ApplicationID,AccountID,ResponseTime,Status,ErrorCode,ErrorMessage,ClientIP,Region,APIVersion,RequestCount,SuccessRate,FailureRate,AverageResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ConcurrentRequests,CPUUsage,MemoryUsage,NetworkLatency,CacheHitRate
2024-03-01,08:00:00,ccp-server-01,Production,GetPassword,A1001,1005,124,Success,0,,192.168.1.100,US-East,12.3.0,150,100,0,124,180,210,250,12,45,65,8,85
2024-03-01,08:15:00,ccp-server-01,Production,GetPassword,A1002,1008,135,Success,0,,192.168.1.101,US-East,12.3.0,165,100,0,135,185,215,255,15,48,68,9,82
2024-03-01,08:30:00,ccp-server-01,Production,GetPassword,A1001,1012,118,Success,0,,192.168.1.102,US-East,12.3.0,178,100,0,118,175,205,245,18,52,70,7,88
2024-03-01,08:45:00,ccp-server-01,Production,GetPassword,A1003,1015,142,Success,0,,192.168.1.103,US-East,12.3.0,185,100,0,142,190,220,260,20,55,72,10,80
2024-03-01,09:00:00,ccp-server-01,Production,GetPassword,A1004,1018,156,Success,0,,192.168.1.104,US-East,12.3.0,210,100,0,156,205,235,275,25,60,75,12,78
2024-03-01,09:15:00,ccp-server-01,Production,GetPassword,A1002,1022,350,Failure,E101,Timeout,192.168.1.105,US-East,12.3.0,225,95,5,184,320,380,450,28,65,80,15,75
2024-03-01,09:30:00,ccp-server-01,Production,GetPassword,A1001,1025,145,Success,0,,192.168.1.106,US-East,12.3.0,240,96,4,162,215,245,285,30,68,82,11,79
2024-03-01,09:45:00,ccp-server-01,Production,GetPassword,A1005,1028,128,Success,0,,192.168.1.107,US-East,12.3.0,255,97,3,152,195,225,265,32,72,85,9,82
2024-03-01,10:00:00,ccp-server-01,Production,GetPassword,A1003,1032,132,Success,0,,192.168.1.108,US-East,12.3.0,280,98,2,138,185,215,255,35,75,88,8,85
2024-03-01,10:15:00,ccp-server-01,Production,GetPassword,A1006,1035,148,Success,0,,192.168.1.109,US-East,12.3.0,302,98,2,140,195,225,265,38,78,90,10,83
2024-03-01,10:30:00,ccp-server-01,Production,GetPassword,A1001,1038,180,Success,0,,192.168.1.110,US-East,12.3.0,325,99,1,155,210,240,280,42,82,92,12,80
2024-03-01,10:45:00,ccp-server-01,Production,GetPassword,A1007,1042,175,Success,0,,192.168.1.111,US-East,12.3.0,345,99,1,152,205,235,275,45,85,95,11,81
2024-03-01,11:00:00,ccp-server-01,Production,GetPassword,A1002,1045,380,Failure,E102,Database Connection Error,192.168.1.112,US-East,12.3.0,360,98,2,168,280,350,420,48,88,98,14,75
2024-03-01,11:15:00,ccp-server-01,Production,GetPassword,A1004,1048,165,Success,0,,192.168.1.113,US-East,12.3.0,382,98,2,170,225,255,295,50,90,97,10,78
2024-03-01,11:30:00,ccp-server-01,Production,GetPassword,A1001,1052,152,Success,0,,192.168.1.114,US-East,12.3.0,405,98,2,168,215,245,285,52,92,95,9,80
2024-03-01,11:45:00,ccp-server-01,Production,GetPassword,A1008,1055,145,Success,0,,192.168.1.115,US-East,12.3.0,425,99,1,160,205,235,275,54,94,93,8,82
2024-03-01,12:00:00,ccp-server-01,Production,GetPassword,A1003,1058,158,Success,0,,192.168.1.116,US-East,12.3.0,450,99,1,155,210,240,280,56,95,90,9,85
2024-03-01,12:15:00,ccp-server-01,Production,GetPassword,A1002,1062,320,Failure,E101,Timeout,192.168.1.117,US-East,12.3.0,468,98,2,162,270,320,380,58,97,92,12,80
2024-03-01,12:30:00,ccp-server-01,Production,GetPassword,A1001,1065,148,Success,0,,192.168.1.118,US-East,12.3.0,485,98,2,165,215,245,285,60,98,95,10,82
2024-03-01,12:45:00,ccp-server-01,Production,GetPassword,A1009,1068,140,Success,0,,192.168.1.119,US-East,12.3.0,502,98,2,162,205,235,275,62,97,93,9,85
2024-03-01,13:00:00,ccp-server-01,Production,GetPassword,A1004,1072,136,Success,0,,192.168.1.120,US-East,12.3.0,525,98,2,158,200,230,270,64,95,90,8,88
2024-03-01,13:15:00,ccp-server-01,Production,GetPassword,A1002,1075,142,Success,0,,192.168.1.121,US-East,12.3.0,545,98,2,155,205,235,275,65,93,87,9,86
2024-03-01,13:30:00,ccp-server-01,Production,GetPassword,A1001,1078,138,Success,0,,192.168.1.122,US-East,12.3.0,568,99,1,150,195,225,265,67,90,85,8,88
2024-03-01,13:45:00,ccp-server-01,Production,GetPassword,A1010,1082,152,Success,0,,192.168.1.123,US-East,12.3.0,585,99,1,148,205,235,275,68,87,82,10,87
2024-03-01,14:00:00,ccp-server-01,Production,GetPassword,A1003,1085,146,Success,0,,192.168.1.124,US-East,12.3.0,610,99,1,145,200,230,270,70,85,80,9,89
2024-03-01,14:15:00,ccp-server-01,Production,GetPassword,A1002,1088,450,Failure,E103,Service Unavailable,192.168.1.125,US-East,12.3.0,625,98,2,158,280,350,450,72,88,85,15,80
2024-03-01,14:30:00,ccp-server-01,Production,GetPassword,A1001,1092,155,Success,0,,192.168.1.126,US-East,12.3.0,648,98,2,162,215,245,285,74,90,87,10,85
2024-03-01,14:45:00,ccp-server-01,Production,GetPassword,A1011,1095,148,Success,0,,192.168.1.127,US-East,12.3.0,665,98,2,160,210,240,280,75,92,90,9,87
2024-03-01,15:00:00,ccp-server-01,Production,GetPassword,A1004,1098,135,Success,0,,192.168.1.128,US-East,12.3.0,692,99,1,156,195,225,265,77,93,92,8,90 